Player,Tm,Salary 2016-17
Arron Afflalo,SAC,12500000.00
Tyson Chandler,PHO,12415000.00
Eric Gordon,HOU,12385364.00
Marvin Williams,CHO,12250000.00
Serge Ibaka,ORL,12250000.00
Stephen Curry,GSW,12112359.00
Nikola Pekovic,MIN,12100000.00
Kenneth Faried,DEN,12078652.00
Marcin Gortat,WAS,12000000.00
Kemba Walker,CHO,12000000.00
Kyle Lowry,TOR,12000000.00
Amir Johnson,BOS,12000000.00
Nikola Vucevic,ORL,11750000.00
Jeremy Lin,BRK,11483254.00
Jrue Holiday,NOP,11286518.00
Courtney Lee,NYK,11242000.00
Solomon Hill,NOP,11241218.00
Wilson Chandler,DEN,11200000.00
Andre Iguodala,GSW,11131368.00
Derrick Favors,UTA,11050000.00
Andrew Bogut,DAL,11027027.00
Austin Rivers,LAC,11000000.00
Joe Johnson,UTA,11000000.00
Jon Leuer,DET,10991957.00
Monta Ellis,IND,10770000.00
Mirza Teletovic,MIL,10500000.00
Jared Dudley,PHO,10470000.00
Zach Randolph,MEM,10361445.00
Al Jefferson,IND,10230179.00
Tyreke Evans,NOP,10203755.00
Alec Burks,UTA,10154495.00
Terrence Ross,TOR,10000000.00
Danny Green,SAS,10000000.00
Omer Asik,NOP,9904494.00
Iman Shumpert,CLE,9700000.00
Matthew Dellavedova,MIL,9607500.00
Jerryd Bayless,PHI,9424084.00
Trevor Booker,BRK,9250000.00
Meyers Leonard,POR,9213484.00
Gerald Henderson,PHI,9000000.00
Deron Williams,DAL,9000000.00
Maurice Harkless,POR,8988764.00
Taj Gibson,CHI,8950000.00
Jeff Teague,IND,8800000.00
Tiago Splitter,ATL,8550000.00
Ersan Ilyasova,PHI,8400000.00
Dwight Powell,DAL,8375000.00
Avery Bradley,BOS,8269663.00
E'Twaun Moore,NOP,8081363.00
Darrell Arthur,DEN,8070175.00
Kosta Koufos,SAC,8046500.00
Garrett Temple,SAC,8000000.00
Anthony Tolliver,SAC,8000000.00
George Hill,UTA,8000000.00
Sergio Rodriguez,PHI,8000000.00
Kevin Garnett,MIN,8000000.00
Tyler Zeller,BOS,8000000.00
Trevor Ariza,HOU,7806971.00
Channing Frye,CLE,7806971.00
Jose Calderon,LAL,7708427.00
Al-Farouq Aminu,POR,7680965.00
Cole Aldrich,MIN,7643979.00
Corey Brewer,HOU,7600000.00
Markieff Morris,WAS,7400000.00
Festus Ezeli,POR,7400000.00
J.J. Redick,LAC,7377500.00
Cory Joseph,TOR,7330000.00
D.J. Augustin,ORL,7250000.00
Boban Marjanovic,DET,7000000.00
Lou Williams,LAL,7000000.00
Boris Diaw,UTA,7000000.00
Rodney Stuckey,IND,7000000.00
Ed Davis,POR,6666667.00
Isaiah Thomas,BOS,6587132.00
Victor Oladipo,OKC,6552960.00
Jodie Meeks,ORL,6540000.00
Jeremy Lamb,CHO,6511628.00
Carl Landry,PHI,6500000.00
Aron Baynes,DET,6500000.00
Spencer Hawes,MIL,6348759.00
Marco Belinelli,CHO,6333333.00
Jae Crowder,BOS,6286408.00
Lance Thomas,NYK,6191000.00
Tarik Black,LAL,6191000.00
Matt Barnes,SAC,6125000.00
Andrew Nicholson,WAS,6088993.00
Patrick Patterson,TOR,6050000.00
Andrew Wiggins,MIN,6006600.00
Ish Smith,DET,6000000.00
Patrick Beverley,HOU,6000000.00
Wayne Ellington,MIA,6000000.00
Ramon Sessions,CHO,6000000.00
Alex Abrines,OKC,5994764.00
Karl-Anthony Towns,MIN,5960160.00
Ben Simmons,PHI,5903160.00
Otto Porter,WAS,5893981.00
Josh McRoberts,MIA,5782450.00
Shaun Livingston,GSW,5782450.00
Nikola Mirotic,CHI,5782450.00
Brandan Wright,MEM,5700000.00
Tyler Johnson,MIA,5628000.00
Wesley Johnson,LAC,5628000.00
Jared Sullinger,TOR,5628000.00
Tony Allen,MEM,5505618.00
Deron Williams,BRK,5500000.00
Nick Young,LAL,5443918.00
Josh Smith,DET,5400000.00
Jabari Parker,MIL,5374320.00
D'Angelo Russell,LAL,5332800.00
Cody Zeller,CHO,5318313.00
P.J. Tucker,PHO,5300000.00
Brandon Ingram,LAL,5281680.00
Kyle Korver,CLE,5239437.00
Darren Collison,SAC,5229454.00
Langston Galloway,NOP,5200000.00
Jason Smith,WAS,5000000.00
C.J. Watson,ORL,5000000.00
Brandon Jennings,NYK,5000000.00
Roy Hibbert,MIL,5000000.00
Luis Scola,BRK,5000000.00
Jonas Jerebko,BOS,5000000.00
Kyle Singler,OKC,4837500.00
Mike Dunleavy,ATL,4837500.00
Joel Embiid,PHI,4826160.00
Alex Len,PHO,4823621.00
Jahlil Okafor,PHI,4788840.00
Jaylen Brown,BOS,4743000.00
Marcus Morris,DET,4625000.00
Alexis Ajinca,NOP,4600000.00
Derrick Williams,MIA,4598000.00
C.J. Miles,IND,4583450.00
Jameer Nelson,DEN,4540525.00
Nerlens Noel,PHI,4384490.00
Aaron Gordon,ORL,4351320.00
Greivis Vasquez,BRK,4347826.00
Kristaps Porzingis,NYK,4317720.00
Dragan Bender,PHO,4276320.00
Vince Carter,MEM,4264057.00
Devin Harris,DAL,4228000.00
J.J. Barea,DAL,4096950.00
Ben McLemore,SAC,4008882.00
Leandro Barbosa,PHO,4000000.00
James Johnson,MIA,4000000.00
Udonis Haslem,MIA,4000000.00
Lavoy Allen,IND,4000000.00
Kris Humphries,ATL,4000000.00
Dante Exum,UTA,3940320.00
Jordan Hill,MIN,3911380.00
Mario Hezonja,ORL,3909840.00
Kyle O'Quinn,NYK,3900000.00
Kris Dunn,MIN,3872520.00
Thabo Sefolosha,ATL,3850000.00
Nemanja Bjelica,MIN,3800000.00
Nick Collison,OKC,3750000.00
Kentavious Caldwell-Pope,DET,3678319.00
Quincy Pondexter,NOP,3617978.00
Patty Mills,SAS,3578948.00
Marcus Smart,BOS,3578880.00
Bojan Bogdanovic,BRK,3573020.00
Willie Cauley-Stein,SAC,3551160.00
Will Barton,DEN,3533333.00
Buddy Hield,NOP,3517200.00
Paul Pierce,LAC,3500000.00
Brandon Rush,MIN,3500000.00
Mike Miller,DEN,3500000.00
Anthony Morrow,OKC,3488000.00
Trey Burke,WAS,3386598.00
Mike Scott,ATL,3333334.00
K.J. McDaniels,HOU,3333333.00
Troy Daniels,MEM,3332940.00
Julius Randle,LAL,3267120.00
Emmanuel Mudiay,DEN,3241800.00
C.J. McCollum,POR,3219579.00
Jamal Murray,DEN,3210840.00
Michael Carter-Williams,CHI,3183526.00
Steven Adams,OKC,3140517.00
Kelly Olynyk,BOS,3094014.00
Shabazz Muhammad,MIN,3046299.00
Justin Hamilton,BRK,3000000.00
Tibor Pleiss,PHI,3000000.00
Omri Casspi,SAC,3000000.00
Giannis Antetokounmpo,MIL,2995421.00
Nik Stauskas,PHI,2993040.00
Dante Cunningham,NOP,2978250.00
Stanley Johnson,DET,2969880.00
Marquese Chriss,PHO,2941440.00
Mindaugas Kuzminskas,NYK,2898000.00
James Ennis,MEM,2898000.00
Seth Curry,DAL,2898000.00
Dewayne Dedmon,SAS,2898000.00
Dion Waiters,MIA,2898000.00
Nene Hilario,HOU,2898000.00
Zaza Pachulia,GSW,2898000.00
Tomas Satoransky,WAS,2870813.00
Noah Vonleh,POR,2751360.00
Frank Kaminsky,CHO,2730000.00
Dennis Schroder,ATL,2708582.00
Jakob Poeltl,TOR,2703960.00
Aaron Brooks,IND,2700000.00
Elfrid Payton,ORL,2613600.00
Justise Winslow,MIA,2593440.00
Thon Maker,MIL,2568600.00
Ronnie Price,OKC,2557545.00
Richard Jefferson,CLE,2500000.00
Malcolm Delaney,ATL,2500000.00
Randy Foye,BRK,2500000.00
Doug McDermott,CHI,2483040.00
Myles Turner,IND,2463840.00
Domantas Sabonis,OKC,2440200.00
Shelvin Mack,UTA,2433334.00
Tony Snell,MIL,2368327.00
Gorgui Dieng,MIN,2348783.00
Trey Lyles,UTA,2340600.00
Mason Plumlee,DEN,2328530.00
Dario Saric,PHI,2318280.00
Taurean Waller-Prince,ATL,2318280.00
Tim Hardaway,ATL,2281605.00
Reggie Bullock,DET,2255644.00
Joe Ingles,UTA,2250000.00
Zach LaVine,MIN,2240880.00
Devin Booker,PHO,2223600.00
Luc Mbah a Moute,LAC,2203000.00
Georgios Papagiannis,SAC,2202240.00
Mo Williams,DEN,2200000.00
Andre Roberson,OKC,2183072.00
T.J. Warren,PHO,2128920.00
Rudy Gobert,UTA,2121288.00
Cameron Payne,OKC,2112480.00
Archie Goodwin,PHO,2094089.00
Denzel Valentine,CHI,2092200.00
Tim Frazier,NOP,2090000.00
Adreian Payne,MIN,2022240.00
Kelly Oubre,WAS,2006640.00
Juan Hernangomez,DEN,1987440.00
Anderson Varejao,POR,1984005.00
Lucas Nogueira,TOR,1921320.00
Jusuf Nurkic,POR,1921320.00
Terry Rozier,BOS,1906440.00
Tim Duncan,SAS,1881250.00
Larry Sanders,MIL,1865547.00
James Young,BOS,1825200.00
Rashad Vaughn,MIL,1811040.00
Kevin Seraphin,IND,1800000.00
Wade Baldwin,MEM,1793760.00
Quincy Acy,BRK,1790902.00
Tyler Ennis,HOU,1733880.00
Sam Dekker,HOU,1720560.00
Joffrey Lauvergne,OKC,1709720.00
Henry Ellenson,DET,1704120.00
Gary Harris,DEN,1655880.00
Jerian Grant,CHI,1643040.00
Malik Beasley,DEN,1627320.00
Bruno Caboclo,TOR,1589640.00
Delon Wright,TOR,1577280.00
Caris LeVert,BRK,1562280.00
David Lee,SAS,1551659.00
Lou Amundson,NYK,1551659.00
Steve Novak,MIL,1551659.00
Jason Terry,MIL,1551659.00
Metta World Peace,LAL,1551659.00
Brandon Bass,LAC,1551659.00
Raymond Felton,LAC,1551659.00
Anderson Varejao,GSW,1551659.00
David West,GSW,1551659.00
Beno Udrih,DET,1551659.00
James Jones,CLE,1551659.00
Chris Andersen,CHO,1551659.00
Jarrett Jack,ATL,1551659.00
Mitch McGary,OKC,1526040.00
Justin Anderson,DAL,1514160.00
Marcelo Huertas,LAL,1500000.00
DeAndre' Bembry,ATL,1499760.00
Jordan Adams,MEM,1465080.00
Bobby Portis,CHI,1453680.00
Demetrius Jackson,BOS,1450000.00
Malachi Richardson,SAC,1439880.00
Sasha Vujacic,NYK,1410598.00
Gerald Green,BOS,1410598.00
Rodney Hood,UTA,1406520.00
Michael Beasley,MIL,1403611.00
Marreese Speights,LAC,1403611.00
JaVale McGee,GSW,1403611.00
Alonzo Gee,NOP,1400000.00
Rondae Hollis-Jefferson,BRK,1395600.00
Willy Hernangomez,NYK,1375000.00
Deyonta Davis,MEM,1369229.00
Kevin Martin,MIN,1360305.00
Nikola Jokic,DEN,1358500.00
Shabazz Napier,POR,1350120.00
Tyus Jones,MIN,1339680.00
Sasha Kaun,PHI,1333420.00
Timothe Luwawu-Cabarrot,PHI,1326960.00
Marcus Thornton,WAS,1315448.00
Ty Lawson,SAC,1315448.00
Alan Anderson,LAC,1315448.00
Clint Capela,HOU,1296240.00
Jarell Martin,MEM,1286160.00
Brice Johnson,LAC,1273920.00
Jeremy Evans,IND,1227286.00
Lance Stephenson,NOP,1227286.00
Luke Babbitt,MIA,1227000.00
Jordan Mickey,BOS,1223653.00
C.J. Wilcox,ORL,1209680.00
Larry Nance Jr.,LAL,1207680.00
R.J. Hunter,BOS,1200240.00
Pascal Siakam,TOR,1196040.00
Kyle Anderson,SAS,1192080.00
Josh Huestis,OKC,1191480.00
Chris McCullough,BRK,1191480.00
Livio Jean-Charles,SAS,1188840.00
Skal Labissiere,SAC,1188840.00
Kevon Looney,GSW,1182840.00
Dejounte Murray,SAS,1180080.00
Damian Jones,GSW,1171560.00
Isaiah Whitehead,BRK,1074145.00
Rakeem Christmas,IND,1052342.00
Joe Young,IND,1052342.00
Terrence Jones,NOP,1050961.00
Thomas Robinson,LAL,1050961.00
Pablo Prigioni,HOU,1050961.00
Quincy Acy,DAL,1050961.00
Brian Roberts,CHO,1050961.00
Glenn Robinson,IND,1050500.00
Ivica Zubac,LAL,1034956.00
Richaun Holmes,PHI,1025831.00
Isaiah Canaan,CHI,1015696.00
Justin Holiday,NYK,1015696.00
Willie Reed,MIA,1015696.00
Ian Clark,GSW,1015696.00
DeAndre Liggins,CLE,1015696.00
Anthony Bennett,BRK,1015696.00
Mike Muscala,ATL,1015696.00
Robert Covington,PHI,1015696.00
Jeff Withey,UTA,1015696.00
Montrezl Harrell,HOU,1000000.00
Elton Brand,PHI,1000000.00
Walter Tavares,ATL,1000000.00
Damjan Rudez,ORL,980431.00
James Michael McAdoo,GSW,980431.00
Nick Johnson,DEN,980431.00
Jarnell Stokes,DEN,980431.00
Joe Harris,BRK,980431.00
Sean Kilpatrick,BRK,980431.00
JaMychal Green,MEM,980431.00
Jerami Grant,OKC,980431.00
Stephen Zimmerman,ORL,950000.00
Jason Thompson,GSW,945126.00
Andrew Harrison,MEM,945000.00
Raul Neto,UTA,937800.00
Malcolm Brogdon,MIL,925000.00
Wayne Ellington,SAC,923670.00
Tyler Ulis,PHO,918369.00
Norman Powell,TOR,874636.00
Jonathon Simmons,SAS,874636.00
Pat Connaughton,POR,874636.00
Alan Williams,PHO,874636.00
Josh Richardson,MIA,874636.00
Anthony Brown,LAL,874636.00
Jordan McRae,CLE,874636.00
Christian Wood,CHO,874636.00
T.J. McConnell,PHI,874636.00
Salah Mejri,DAL,874636.00
Cristiano Felicio,CHI,874636.00
Darrun Hilliard,DET,874060.00
Martell Webster,WAS,830000.00
Michael Beasley,PHO,777777.00
Paul Zipser,CHI,750000.00
Spencer Dinwiddie,BRK,726672.00
Bobby Brown,HOU,680534.00
A.J. Hammons,DAL,650000.00
Carlos Delfino,LAC,650000.00
Michael Gbinije,DET,650000.00
Georges Niang,IND,650000.00
John Lucas III,MIN,635753.00
Joel Bolomboy,UTA,600000.00
Jake Layman,POR,600000.00
Donatas Motiejunas,NOP,576724.00
Chinanu Onuaku,HOU,543471.00
Cheick Diallo,NOP,543471.00
Davis Bertans,SAS,543471.00
Diamond Stone,LAC,543471.00
Patrick McCaw,GSW,543471.00
Kay Felder,CLE,543471.00
Sheldon McClellan,WAS,543471.00
Danuel House,WAS,543471.00
Daniel Ochefu,WAS,543471.00
Fred VanVleet,TOR,543471.00
Bryn Forbes,SAS,543471.00
Tim Quarterman,POR,543471.00
Derrick Jones,PHO,543471.00
Semaj Christon,OKC,543471.00
Maurice Ndour,NYK,543471.00
Ron Baker,NYK,543471.00
Marshall Plumlee,NYK,543471.00
Rodney McGruder,MIA,543471.00
Troy Williams,MEM,543471.00
Gary Payton,HOU,543471.00
Kyle Wiltjer,HOU,543471.00
Jonathan Gibson,DAL,543471.00
Dorian Finney-Smith,DAL,543471.00
Nicolas Brussino,DAL,543471.00
Treveon Graham,CHO,543471.00
Caron Butler,SAC,517220.00
Jordan Farmar,LAC,510921.00
Jarrett Jack,BRK,500000.00
Joel Anthony,SAS,497858.00
John Jenkins,PHO,469841.00
Aaron Gray,DET,452059.00
Hollis Thompson,PHI,442126.00
Arinze Onuaku,ORL,440078.00
Maurice Ndour,DAL,437318.00
R.J. Hunter,CHI,425000.00
Ryan Kelly,ATL,418228.00
Alonzo Gee,DEN,417848.00
Aaron Harrison,CHO,375579.00
Briante Weber,MIA,328000.00
Andrea Bargnani,BRK,323599.00
Gal Mekel,DAL,315760.00
Miroslav Raduljica,LAC,300000.00
Bobby Brown,HOU,253759.00
Yi Jianlian,LAL,250000.00
Elliot Williams,GSW,250000.00
Ben Bentil,BOS,250000.00
Chasson Randle,PHI,233373.00
Nicolas Laprovittola,SAS,210995.00
Okaro White,MIA,210995.00
Yogi Ferrell,DAL,207798.00
Ronnie Price,PHO,182548.00
Reggie Williams,NOP,180483.00
Jarell Eddie,WAS,175000.00
Joel Anthony,SAS,165952.00
Brandon Paul,PHI,155000.00
Toney Douglas,MEM,154758.00
Robbie Hummel,DEN,150000.00
Jonathan Gibson,DAL,137466.00
Marcus Paige,UTA,125000.00
Quincy Acy,BRK,123642.00
Ray McCallum,CHO,119494.00
Johnny O'Bryant,DEN,115344.00
Anthony Brown,NOP,108043.00
Lamar Patterson,ATL,102898.00
Yogi Ferrell,BRK,102300.00
Toney Douglas,MEM,100593.00
Patricio Garino,SAS,100000.00
Isaiah Cousins,SAC,100000.00
Lamar Patterson,SAC,100000.00
Chris Wright,OKC,100000.00
Chasson Randle,NYK,100000.00
J.P. Tokoto,NYK,100000.00
Okaro White,MIA,100000.00
Stefan Jankovic,MIA,100000.00
Yogi Ferrell,BRK,100000.00
Egidijus Mockevicius,BRK,100000.00
Archie Goodwin,NOP,95600.00
Alonzo Gee,DEN,77379.00
Henry Sims,UTA,75000.00
Quincy Ford,UTA,75000.00
Ryan Arcidiacono,SAS,75000.00
Kaleb Tarczewski,OKC,75000.00
Keith Benson,MIA,75000.00
Mike Tobey,CHO,75000.00
Lance Stephenson,MIN,72193.00
Gary Neal,ATL,72193.00
Kyle Collinsworth,DAL,70000.00
Thomas Walkup,CHI,69500.00
Derrick Williams,CLE,67007.00
Jordan Farmar,SAC,66384.00
Shawn Long,PHI,65000.00
James Webb,PHI,65000.00
Chasson Randle,PHI,63938.00
Okaro White,MIA,63938.00
Pierre Jackson,DAL,63938.00
Mike Tobey,CHO,63938.00
Zach Auguste,LAL,60000.00
Brady Heslip,TOR,56500.00
Anthony Brown,ORL,51449.00
Briante Weber,GSW,51449.00
E.J. Singler,TOR,50000.00
Yanick Moreira,TOR,50000.00
Jarrod Uthoff,TOR,50000.00
Cat Barber,PHI,50000.00
Dionte Christmas,PHI,50000.00
Alex Caruso,OKC,50000.00
Reggie Williams,OKC,50000.00
Ben Bentil,IND,50000.00
Julyan Stone,IND,50000.00
Isaiah Taylor,HOU,50000.00
Cameron Jones,GSW,50000.00
Elgin Cook,GSW,50000.00
Scott Wood,GSW,50000.00
D.J. Kennedy,DEN,50000.00
Nate Wolters,DEN,50000.00
Damion Lee,BOS,50000.00
Matt Costello,ATL,50000.00
Beau Beech,BRK,45000.00
Pierre Jackson,DAL,41560.00
Alex Poythress,IND,35381.00
D.J. Stephens,MEM,35000.00
Phil Pressey,GSW,35000.00
Marcus Georges-Hunt,MIA,31969.00
Yogi Ferrell,DAL,31969.00
Matt Costello,MEM,31500.00
Nikola Jovanovic,DET,30000.00
Tony Wroten,MEM,25000.00
Nick Zeisloft,IND,25000.00
Marcus Georges-Hunt,BOS,25000.00
Jalen Jones,BOS,25000.00
Jameel Warney,DAL,20000.00
Dahntay Jones,CLE,18255.00
Jordan Farmar,SAC,16595.00
Ray McCallum,DET,11949.00
P.J. Hairston,HOU,11534.00
